Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-11-20,168.14,170.69,167.8,170.45,4697484.0,0.0,1.0,163.63928474251261,166.12102719578616,163.30838574874286,165.88745143547806,4697484.0
2017-11-17,167.0,168.43,166.06,167.74,4530027.0,0.0,1.0,162.5297998810492,163.9215221195516,161.61496148650915,163.24999180866584,4530027.0
2017-11-16,166.68,167.76,166.06,167.5,4585477.0,0.0,1.0,162.2183655339717,163.26945645535815,161.61496148650915,163.01641604835768,4585477.0
2017-11-15,167.44,167.44,165.35,165.47,5534520.0,0.0,1.0,162.9580221082807,162.9580221082807,160.92396652893103,161.0407544090851,5534520.0
2017-11-14,163.62,168.14,163.15,168.06,10281508.0,0.0,1.0,159.24027459004353,163.63928474251261,158.78285539277348,163.56142615574328,10281508.0
2017-11-13,164.64,166.64,164.25,165.35,7175307.0,0.0,1.0,160.2329715713529,162.17943624058702,159.85341096085227,160.92396652893103,7175307.0
2017-11-10,163.34,164.58,162.93,164.11,3554220.0,0.0,1.0,158.96776953635074,160.1745776312759,158.56874427915776,159.7171584340059,3554220.0
2017-11-09,164.1,164.135,162.28,163.27,3381255.0,0.0,1.0,159.70742611065972,159.7414892423713,157.9361432616567,158.89964327292756,3381255.0
2017-11-08,163.34,164.68,163.27,164.05,2661622.0,0.0,1.0,158.96776953635074,160.27190086473763,158.89964327292756,159.65876449392889,2661622.0
2017-11-07,164.09,164.4,162.83,163.66,3198129.0,0.0,1.0,159.69769378731354,159.99939581104485,158.47142104569608,159.27920388342818,3198129.0
2017-11-06,164.8,164.88,163.01,164.22,3275219.0,0.0,1.0,160.38868874489168,160.46654733166105,158.64660286592712,159.82421399081375,3275219.0
2017-11-03,163.01,164.99,162.68,164.39,3080591.0,0.0,1.0,158.64660286592712,160.5736028884689,158.3254361955035,159.98966348769866,3080591.0
2017-11-02,165.01,165.01,160.53,162.71,6517095.0,0.0,1.0,160.59306753516125,160.59306753516125,156.23298667607682,158.354633165542,6517095.0
2017-11-01,166.42,166.74,165.12,165.38,3568321.0,0.0,1.0,161.96532512697132,162.27675947404876,160.70012309196912,160.95316349896956,3568321.0
2017-10-31,165.4,166.34,165.1,165.78,2922416.0,0.0,1.0,160.9726281456619,161.8874665402019,160.68065844527678,161.34245643281642,2922416.0
2017-10-30,166.99,166.99,164.88,165.31,3906231.0,0.0,1.0,162.52006755770304,162.52006755770304,160.46654733166105,160.88503723554638,3906231.0
2017-10-27,166.8,167.75,166.46,167.34,3720385.0,0.0,1.0,162.33515341412578,163.259724132012,162.00425442035598,162.86069887481898,3720385.0
2017-10-26,166.39,167.94,166.1068,167.65,3750129.0,0.0,1.0,161.93612815693277,163.44463827558926,161.6605087597692,163.16240089855032,3750129.0
2017-10-25,166.11,166.95,165.3803,166.09,2945980.0,0.0,1.0,161.66362310323998,162.4811382643183,160.95345546866994,161.64415845654767,2945980.0
2017-10-24,164.67,166.46,164.65,166.03,3686538.0,0.0,1.0,160.26216854139142,162.00425442035598,160.2427038946991,161.58576451647062,3686538.0
2017-10-23,164.04,166.265,163.75,164.74,3995025.0,0.0,1.0,159.6490321705827,161.81447411510564,159.36679479354373,160.33029480481466,3995025.0
2017-10-20,163.97,164.15,162.74,163.43,4166481.0,0.0,1.0,159.5809059071595,159.75608772739056,158.38383013558055,159.05536044646632,4166481.0
2017-10-19,163.5,164.11,162.77,163.24,2675062.0,0.0,1.0,159.12348670988948,159.7171584340059,158.41302710561902,158.87044630288906,2675062.0
2017-10-18,163.42,164.24,163.35,163.45,2758595.0,0.0,1.0,159.0456281231201,159.84367863750612,158.9775018596969,159.07482509315858,2758595.0
2017-10-17,164.22,164.92,161.5111,163.35,4189096.0,0.0,1.0,159.82421399081375,160.50547662504567,157.18782491956958,158.9775018596969,4189096.0
2017-10-16,164.47,164.67,163.26,164.22,2586716.0,0.0,1.0,160.06752207446803,160.26216854139142,158.88991094958138,159.82421399081375,2586716.0
2017-10-13,164.92,166.0699,164.35,164.47,3258984.0,0.0,1.0,160.50547662504567,161.62459648662187,159.95073419431395,160.06752207446803,3258984.0
2017-10-12,165.41,165.41,164.47,164.59,3397775.0,0.0,1.0,160.98236046900806,160.98236046900806,160.06752207446803,160.1843099546221,3397775.0
2017-10-11,165.19,165.865,164.45,165.25,2319274.0,0.0,1.0,160.7682493553923,161.42518118125886,160.0480574277757,160.8266432954693,2319274.0
2017-10-10,165.7,165.8,164.64,165.16,2755398.0,0.0,1.0,161.264597846047,161.36192107950873,160.2329715713529,160.7390523853538,2755398.0
